제목,URL,요약,언론사,작성일시
"뜨거웠던 1분기 IPO, 상장 첫날 매도시 평균 168% 수익",https://finance.naver.com/news/news_read.naver?article_id=0000825343&office_id=031&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,엔젤로보틱스를 끝으로 올해 1분기 기업공개(IPO) 시장이 마무리됐다. 1분기 상장 기업 27곳 중 코넥스·재상장·이전상장·스팩 등을 제외한 1...아이뉴스24|2024-04-02 15:13,아이뉴스24,2024-04-02 15:13
"한국은행 “통안계정 7일물 3.50%, 28일물 3.52%에 각각 낙찰”",https://finance.naver.com/news/news_read.naver?article_id=0005705301&office_id=018&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,"한국은행은 2일 통화안정계정예치금 경쟁입찰 실시 결과 7일물이 3.50%에 4조6800억원 낙찰, 28일물이 3.52%에 2조원 낙찰됐다고 밝혔...이데일리|2024-04-02 15:11",이데일리,2024-04-02 15:11
"LIG넥스원, 3000억 규모 토지·건물 취득 결정",https://finance.naver.com/news/news_read.naver?article_id=0002289488&office_id=016&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,LIG넥스원은 미래기술을 위한 R&D 인프라 확보 목적으로 재단법인 세종연구소로부터 성남시 소재 토지 및 건물을 취득하기로 결정했다고 2일 공시했다. 취득금액은 3000억...헤럴드경제|2024-04-02 15:11,헤럴드경제,2024-04-02 15:11
"한투운용, 베트남그로스UH 펀드 1년 수익률 1위",https://finance.naver.com/news/news_read.naver?article_id=0012466564&office_id=003&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,한국투자신탁운용은 한국투자베트남그로스UH(C-W)가 운용설정액 500억원 이상의 베트남 펀드 가운데 1년 수익률 1위를 차지했다고 2일 밝혔다....뉴시스|2024-04-02 15:09,뉴시스,2024-04-02 15:09
"미래산업, 넵콘 상하이 참가…글로벌 시장 공략",https://finance.naver.com/news/news_read.naver?article_id=0012466556&office_id=003&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,반도체 후공정 검사장비 제조 전문기업 미래산업은 이달 말 중국 상하이에서 개최되는 전자부품 박람회 '넵콘 상하이(Nepcon Shanhai) 2...뉴시스|2024-04-02 15:07,뉴시스,2024-04-02 15:07
"한화에어로스페이스 ""인적분할 검토하나 확정 안 돼""",https://finance.naver.com/news/news_read.naver?article_id=0012466545&office_id=003&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,"한화에어로스페이스는 인적분할을 추진한다는 언론 보도에 대해 ""주주가치와 경영효율성 제고를 위해 당사가 영위하는 사업특성을 고려한 인적분할을 검토하고 있으나 아직 확정된 사...뉴시스|2024-04-02 15:07",뉴시스,2024-04-02 15:07
우리은행 '사고 Zero 서포터즈' 2기 출범,https://finance.naver.com/news/news_read.naver?article_id=0003194573&office_id=030&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,"우리은행(행장 조병규)은 지난 1일 '사고 Zero 서포터즈' 2기 발대식을 열고, '2024년 금융사고 Zero 은행'을 위한 활동을 시작했다...전자신문|2024-04-02 15:05",전자신문,2024-04-02 15:05
"이수그룹-지용킴, 2024 SS 컬렉션 출시",https://finance.naver.com/news/news_read.naver?article_id=0005400674&office_id=277&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,이수그룹이 지용킴 디자이너와 2024 SS 컬렉션을 한정판으로 출시한다고 2일 밝혔다. 이수그룹은 지난해부터 지용킴과 폐근무복으로 가방과 의류를 제작하는 업사이클링 프로젝...아시아경제|2024-04-02 15:04,아시아경제,2024-04-02 15:04
"""FDA 승인 획득""…코어라인소프트, 미국 간다 [엔터프라이스]",https://finance.naver.com/news/news_read.naver?article_id=0001155757&office_id=215&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,다음 소식은 정 기자가 준비했죠. 어떤 기업 소식입니까? 오늘 따끈따끈한 자료를 낸 AI 의료기업 '코어라인소프트' 소식으로 준비했습니다. 코어...한국경제TV|2024-04-02 15:03,한국경제TV,2024-04-02 15:03
'사면초가' 철강업계…포스코 '인내의 시간' [엔터프라이스],https://finance.naver.com/news/news_read.naver?article_id=0001155756&office_id=215&mode=LSS2D&type=0§ion_id=101§ion_id2=258§ion_id3=&date=20240402&page=1,"왼쪽에서 레프트 훅이 날아오고, 오른쪽에선 라이트 스트레이트가 꽂힙니다. 우리나라 철강 업계가 처한 상황인데요. 태평양 건너 미국에선 높은 세금...한국경제TV|2024-04-02 15:03",한국경제TV,2024-04-02 15:03
